Farmaco	Posologia adulti	Nome/i commerciali	Indicazione
Amoxicillina ± acid clavulanico	1 g ogni 8 h x 6 giorni	Augmentin, Clavulin	Infezioni odontogene
Clindamicina	600 mg ogni 8 h OR (profilassi: singola)	Dalacin	Allergici penicillina, profilassi
Claritromicina	500 mg ogni 12 h o singola dose profilattica	Klacid, Macladin	Allergico, profilassi
Azitromicina	500 mg 1 die x 3 giorni	Zitromax	Alternativa profilassi o terapia breve
Cefalexina	500 mg 2×/die x 6 giorni o 2 g profilassi	-	Allergici Beta-lattami
Metronidazolo	500 mg ogni 8 h x 3 giorni	Flagyl	Infezioni anaerobiche
Ibuprofene + Paracetamolo	Ibuprofene 400–600 mg ogni 6 h; paracetamolo 500 mg ogni 6 h	Brufen, Spidifen, Tachipirina	Dolore post-op
Paracetamolo	500–1000 mg ogni 6–8 h (max 3–4 g/die)	Tachipirina	Dolore/malattia
Brembo + Paracetamolo + Idrocodone	combinazione per dolore severo (10 mg)	Contramal, Depalgos	Dolore grave
Clorexidina 0,2 %	Sciacqui 1 min pre-op e 2×/die post-op	Corsodyl, Chlorhexamed	Igiene pre/post-chirurgia orale
Triamcinolone topico	come da confezione	-	Ulcere, mucosite
Benzidamina / Amlexanox	come da foglietto illustrativo	-	Mucositi/esofagiti orali
Aciclovir gel	come da confezione	Zovirax	Herpes labiale/orale
Fluconazolo / Nistatina	come da foglio illustrativo	Diflucan, Mycostatin	Candidosi orale
